#Nodes (id	xPos	yPos)
1	250.0	200.0
2	249.60573506572388	206.2666616782152
3	248.42915805643156	212.43449435824274
4	246.48882429441258	218.4062276342339
5	243.8153340021932	224.08768370508577
6	240.45084971874738	229.38926261462365
7	236.44843137107057	234.22735529643444
8	231.87119948743447	238.52566213878947
9	226.79133974894984	242.21639627510075
10	221.28896457825363	245.24135262330097
11	215.45084971874738	247.55282581475768
12	209.36906572928623	249.11436253643444
13	203.13952597646568	249.9013364214136
14	196.86047402353432	249.9013364214136
15	190.63093427071377	249.11436253643444
16	184.54915028125262	247.55282581475768
17	178.71103542174637	245.24135262330097
18	173.20866025105016	242.21639627510075
19	168.12880051256553	238.52566213878947
20	163.55156862892943	234.22735529643444
21	159.54915028125265	229.38926261462365
22	156.18466599780683	224.0876837050858
23	153.51117570558745	218.40622763423391
24	151.57084194356844	212.43449435824274
25	150.39426493427612	206.26666167821523
26	150.0	200.0
27	150.39426493427612	193.73333832178477
28	151.57084194356844	187.56550564175726
29	153.51117570558745	181.59377236576609
30	156.1846659978068	175.91231629491426
31	159.54915028125262	170.61073738537635
32	163.55156862892943	165.77264470356556
33	168.12880051256553	161.47433786121053
34	173.2086602510502	157.78360372489925
35	178.7110354217464	154.758647376699
36	184.54915028125262	152.44717418524232
37	190.63093427071377	150.88563746356556
38	196.86047402353435	150.0986635785864
39	203.13952597646565	150.0986635785864
40	209.3690657292862	150.88563746356556
41	215.45084971874735	152.44717418524232
42	221.2889645782536	154.758647376699
43	226.7913397489498	157.78360372489922
44	231.87119948743447	161.47433786121053
45	236.44843137107057	165.77264470356556
46	240.45084971874735	170.61073738537635
47	243.8153340021932	175.91231629491423
48	246.48882429441255	181.59377236576606
49	248.42915805643156	187.56550564175723
50	249.60573506572388	193.73333832178477
#Nodes (id	xPos	yPos)
1	250.0	200.0
2	249.60573506572388	206.2666616782152
3	248.42915805643156	212.43449435824274
4	246.48882429441258	218.4062276342339
5	243.8153340021932	224.08768370508577
6	240.45084971874738	229.38926261462365
7	236.44843137107057	234.22735529643444
8	231.87119948743447	238.52566213878947
9	226.79133974894984	242.21639627510075
10	221.28896457825363	245.24135262330097
11	215.45084971874738	247.55282581475768
12	209.36906572928623	249.11436253643444
13	203.13952597646568	249.9013364214136
14	196.86047402353432	249.9013364214136
15	190.63093427071377	249.11436253643444
16	184.54915028125262	247.55282581475768
17	178.71103542174637	245.24135262330097
18	173.20866025105016	242.21639627510075
19	168.12880051256553	238.52566213878947
20	163.55156862892943	234.22735529643444
21	159.54915028125265	229.38926261462365
22	156.18466599780683	224.0876837050858
23	153.51117570558745	218.40622763423391
24	151.57084194356844	212.43449435824274
25	150.39426493427612	206.26666167821523
26	150.0	200.0
27	150.39426493427612	193.73333832178477
28	151.57084194356844	187.56550564175726
29	153.51117570558745	181.59377236576609
30	156.1846659978068	175.91231629491426
31	159.54915028125262	170.61073738537635
32	163.55156862892943	165.77264470356556
33	168.12880051256553	161.47433786121053
34	173.2086602510502	157.78360372489925
35	178.7110354217464	154.758647376699
36	184.54915028125262	152.44717418524232
37	190.63093427071377	150.88563746356556
38	196.86047402353435	150.0986635785864
39	203.13952597646565	150.0986635785864
40	209.3690657292862	150.88563746356556
41	215.45084971874735	152.44717418524232
42	221.2889645782536	154.758647376699
43	226.7913397489498	157.78360372489922
44	231.87119948743447	161.47433786121053
45	236.44843137107057	165.77264470356556
46	240.45084971874735	170.61073738537635
47	243.8153340021932	175.91231629491423
48	246.48882429441255	181.59377236576606
49	248.42915805643156	187.56550564175723
50	249.60573506572388	193.73333832178477
#Connection (nodeId1	nodeId2	domainId	bsolver	cdesolver	...)
1	2	1
2	3	1
3	4	1
4	5	1
5	6	1
6	7	1
7	8	1
8	9	1
9	10	1
10	11	1
11	12	1
12	13	1
13	14	1
14	15	1
15	16	1
16	17	1
17	18	1
18	19	1
19	20	1
20	21	1
21	22	1
22	23	1
23	24	1
24	25	1
25	26	1
26	27	1
27	28	1
28	29	1
29	30	1
30	31	1
31	32	1
32	33	1
33	34	1
34	35	1
35	36	1
36	37	1
37	38	1
38	39	1
39	40	1
40	41	1
41	42	1
42	43	1
43	44	1
44	45	1
45	46	1
46	47	1
47	48	1
48	49	1
49	50	1
50	1	1
